Time,SpO2,PULSE,PI,Note
2020-12-31 16:08:47,98%,89Beats/Min,8.8,
2020-12-28 10:05:48,96%,71Beats/Min,3.9,
2020-12-28 05:56:39,97%,65Beats/Min,5.1,a
2020-12-28 05:55:04,97%,67Beats/Min,4.2,
2020-12-28 05:50:49,97%,60Beats/Min,6.9,samsung
2020-12-28 05:49:04,97%,57Beats/Min,7.2,
2020-12-28 05:40:30,96%,57Beats/Min,8.5,
2020-12-27 07:41:31,98%,52Beats/Min,1.7,
2020-12-26 05:19:52,98%,61Beats/Min,9.0,
2020-12-25 08:20:21,99%,70Beats/Min,2.9,
2020-12-24 07:17:37,98%,59Beats/Min,3.5,
2020-12-23 06:03:42,97%,54Beats/Min,4.4,
2020-12-22 03:41:59,98%,64Beats/Min,6.2,
2020-12-21 07:01:33,98%,52Beats/Min,3.5,
2020-12-20 07:33:17,99%,60Beats/Min,3.6,
2020-12-19 08:34:07,99%,64Beats/Min,1.6,
2020-12-18 06:35:48,99%,60Beats/Min,4.5,
2020-12-17 06:03:36,98%,62Beats/Min,5.5,
2020-12-16 07:04:21,99%,63Beats/Min,5.3,
2020-12-15 06:29:42,99%,57Beats/Min,2.4,
2020-12-14 06:23:13,97%,64Beats/Min,9.4,
2020-12-13 12:48:37,99%,58Beats/Min,1.1,
2020-12-12 08:25:49,99%,60Beats/Min,1.5,
2020-12-11 07:10:12,98%,61Beats/Min,5.3,
2020-12-10 07:28:56,99%,51Beats/Min,2.0,
2020-12-09 06:34:42,98%,67Beats/Min,5.8,
2020-12-08 06:07:39,98%,58Beats/Min,6.6,
2020-12-07 06:26:00,97%,57Beats/Min,2.2,
2020-12-06 06:43:26,98%,61Beats/Min,2.5,
2020-12-05 09:00:20,98%,60Beats/Min,1.4,
2020-12-05 08:57:22,97%,74Beats/Min,9.6,
2020-12-04 06:14:53,98%,62Beats/Min,1.7,
2020-12-03 06:58:14,98%,63Beats/Min,2.6,
2020-12-02 06:45:18,98%,57Beats/Min,10.1,
2020-12-01 05:18:17,99%,63Beats/Min,2.4,
2020-11-30 05:36:31,99%,62Beats/Min,2.3,
2020-11-29 05:31:48,98%,68Beats/Min,2.5,
2020-11-28 07:45:39,99%,60Beats/Min,1.2,
2020-11-27 06:13:12,99%,76Beats/Min,2.1,
2020-11-26 06:35:52,98%,65Beats/Min,1.9,
2020-11-25 06:51:08,98%,67Beats/Min,2.8,
2020-11-24 05:41:43,98%,66Beats/Min,2.6,
2020-11-23 06:45:10,99%,75Beats/Min,1.8,
2020-11-22 06:35:21,98%,58Beats/Min,3.4,
2020-11-21 09:59:28,99%,84Beats/Min,1.4,
2020-11-20 07:11:25,99%,65Beats/Min,1.7,
2020-11-19 07:02:32,99%,74Beats/Min,3.7,
2020-11-18 08:00:19,97%,74Beats/Min,11.9,
2020-11-17 06:46:12,98%,58Beats/Min,9.3,
2020-11-16 07:24:42,98%,61Beats/Min,3.5,
2020-11-15 08:44:13,98%,75Beats/Min,6.3,
2020-11-13 17:28:29,98%,71Beats/Min,6.0,
2020-11-12 05:46:52,99%,63Beats/Min,1.4,
2020-11-11 06:17:51,98%,67Beats/Min,3.5,
2020-11-10 07:02:34,98%,67Beats/Min,2.6,
2020-11-09 07:13:42,99%,51Beats/Min,1.8,
2020-11-08 09:22:47,98%,61Beats/Min,5.5,
2020-11-07 05:08:34,98%,71Beats/Min,2.5,
2020-11-06 07:15:25,98%,81Beats/Min,2.7,
2020-11-05 18:29:22,99%,65Beats/Min,5.4,
2020-11-05 05:37:15,98%,60Beats/Min,2.1,
2020-11-04 07:10:44,98%,69Beats/Min,2.5,
2020-11-03 06:13:25,99%,71Beats/Min,2.8,
2020-11-02 06:02:11,98%,68Beats/Min,3.4,
2020-11-01 06:06:26,99%,53Beats/Min,2.4,
2020-10-31 07:17:46,99%,71Beats/Min,1.3,
2020-10-30 04:59:53,97%,56Beats/Min,2.9,
2020-10-29 05:51:07,98%,70Beats/Min,2.7,
2020-10-28 05:58:30,98%,67Beats/Min,3.5,
2020-10-27 06:29:25,98%,50Beats/Min,2.4,
2020-10-26 06:24:32,98%,69Beats/Min,1.7,
2020-10-25 07:03:26,98%,57Beats/Min,4.4,
2020-10-24 07:03:48,98%,85Beats/Min,3.1,
2020-10-23 06:01:12,97%,78Beats/Min,3.4,
2020-10-22 06:00:13,98%,67Beats/Min,2.7,
2020-10-21 05:49:09,98%,52Beats/Min,2.5,
2020-10-20 05:55:13,98%,63Beats/Min,3.6,
2020-10-19 06:43:05,99%,68Beats/Min,1.7,
2020-10-18 08:03:44,99%,60Beats/Min,2.9,
2020-10-17 06:12:24,99%,61Beats/Min,1.5,
2020-10-16 07:04:23,98%,72Beats/Min,4.2,
2020-10-15 20:56:15,99%,76Beats/Min,2.4,
2020-10-15 05:33:08,97%,62Beats/Min,2.9,
